date,airport,arrivals_7d,departures_7d,total_7d,source
2026-02-18,OMDB,430,420,850,chart_extract
2026-02-19,OMDB,430,425,855,chart_extract
2026-02-20,OMDB,425,425,850,chart_extract
2026-02-21,OMDB,425,420,845,chart_extract
2026-02-22,OMDB,425,420,845,chart_extract
2026-02-23,OMDB,420,420,840,chart_extract
2026-02-24,OMDB,425,425,850,chart_extract
2026-02-25,OMDB,425,420,845,chart_extract
2026-02-26,OMDB,425,425,850,chart_extract
2026-02-27,OMDB,420,420,840,chart_extract
2026-02-28,OMDB,420,420,840,chart_extract
2026-03-01,OMDB,370,370,740,chart_extract
2026-03-02,OMDB,280,280,560,chart_extract
2026-03-03,OMDB,175,175,350,chart_extract
2026-03-04,OMDB,105,105,210,chart_extract
2026-03-05,OMDB,70,70,140,chart_extract
2026-03-06,OMDB,45,45,90,chart_extract
2026-03-07,OMDB,35,35,70,chart_extract
2026-03-08,OMDB,28,27,55,chart_extract
2026-03-09,OMDB,25,25,50,chart_extract
2026-03-10,OMDB,25,25,50,chart_extract
2026-03-11,OMDB,30,30,60,chart_extract
2026-03-12,OMDB,35,35,70,chart_extract
2026-03-13,OMDB,38,37,75,chart_extract
2026-03-14,OMDB,42,43,85,chart_extract
2026-03-15,OMDB,45,45,90,chart_extract
2026-02-18,OMAA,78,72,150,chart_extract
2026-02-19,OMAA,78,74,152,chart_extract
2026-02-20,OMAA,76,74,150,chart_extract
2026-02-21,OMAA,76,74,150,chart_extract
2026-02-22,OMAA,75,73,148,chart_extract
2026-02-23,OMAA,75,73,148,chart_extract
2026-02-24,OMAA,76,74,150,chart_extract
2026-02-25,OMAA,76,74,150,chart_extract
2026-02-26,OMAA,76,74,150,chart_extract
2026-02-27,OMAA,75,73,148,chart_extract
2026-02-28,OMAA,75,73,148,chart_extract
2026-03-01,OMAA,60,60,120,chart_extract
2026-03-02,OMAA,42,42,84,chart_extract
2026-03-03,OMAA,25,25,50,chart_extract
2026-03-04,OMAA,14,14,28,chart_extract
2026-03-05,OMAA,10,10,20,chart_extract
2026-03-06,OMAA,10,10,20,chart_extract
2026-03-07,OMAA,15,15,30,chart_extract
2026-03-08,OMAA,25,25,50,chart_extract
2026-03-09,OMAA,42,42,84,chart_extract
2026-03-10,OMAA,65,65,130,chart_extract
2026-03-11,OMAA,92,88,180,chart_extract
2026-03-12,OMAA,120,115,235,chart_extract
2026-03-13,OMAA,145,140,285,chart_extract
2026-03-14,OMAA,165,160,325,chart_extract
2026-03-15,OMAA,185,180,365,chart_extract
