date,airport,arrivals_7d,departures_7d,total_7d,source
2026-02-21,OMDB,244,242,486,chart_extract
2026-02-22,OMDB,305,302,607,chart_extract
2026-02-23,OMDB,365,362,727,chart_extract
2026-02-24,OMDB,426,423,849,chart_extract
2026-02-25,OMDB,426,423,849,chart_extract
2026-02-26,OMDB,426,423,849,chart_extract
2026-02-27,OMDB,425,422,847,chart_extract
2026-02-28,OMDB,424,422,846,chart_extract
2026-03-01,OMDB,416,415,831,chart_extract
2026-03-02,OMDB,396,395,791,chart_extract
2026-03-03,OMDB,360,359,719,chart_extract
2026-03-04,OMDB,314,314,628,chart_extract
2026-03-05,OMDB,263,263,526,chart_extract
2026-03-06,OMDB,209,209,418,chart_extract
2026-03-07,OMDB,154,154,308,chart_extract
2026-03-08,OMDB,105,105,210,chart_extract
2026-03-09,OMDB,69,69,138,chart_extract
2026-03-10,OMDB,48,48,96,chart_extract
2026-03-11,OMDB,37,37,74,chart_extract
2026-03-12,OMDB,32,32,64,chart_extract
2026-03-13,OMDB,31,31,62,chart_extract
2026-03-14,OMDB,32,32,64,chart_extract
2026-03-15,OMDB,34,34,68,chart_extract
2026-03-16,OMDB,85,84,169,api_7d
2026-03-17,OMDB,91,88,179,api_7d
2026-03-18,OMDB,101,96,197,api_7d
2026-03-19,OMDB,114,106,220,api_7d
2026-02-21,OMAA,44,43,87,chart_extract
2026-02-22,OMAA,55,53,108,chart_extract
2026-02-23,OMAA,66,63,129,chart_extract
2026-02-24,OMAA,77,74,151,chart_extract
2026-02-25,OMAA,77,75,152,chart_extract
2026-02-26,OMAA,77,75,152,chart_extract
2026-02-27,OMAA,77,74,151,chart_extract
2026-02-28,OMAA,77,73,150,chart_extract
2026-03-01,OMAA,75,72,147,chart_extract
2026-03-02,OMAA,70,68,138,chart_extract
2026-03-03,OMAA,63,61,124,chart_extract
2026-03-04,OMAA,54,52,106,chart_extract
2026-03-05,OMAA,44,42,86,chart_extract
2026-03-06,OMAA,34,33,67,chart_extract
2026-03-07,OMAA,25,25,50,chart_extract
2026-03-08,OMAA,20,20,40,chart_extract
2026-03-09,OMAA,20,20,40,chart_extract
2026-03-10,OMAA,25,25,50,chart_extract
2026-03-11,OMAA,36,36,72,chart_extract
2026-03-12,OMAA,52,51,103,chart_extract
2026-03-13,OMAA,72,70,142,chart_extract
2026-03-14,OMAA,94,91,185,chart_extract
2026-03-15,OMAA,116,113,229,chart_extract
2026-03-16,OMAA,207,200,407,api_7d
2026-03-17,OMAA,282,283,565,api_7d
2026-03-18,OMAA,354,364,718,api_7d
2026-03-19,OMAA,425,445,870,api_7d
